	ra	dec	mag	x	y	z
0	0.0	0.0	-26.7	1.0	0.0	0.0
122	0.006968052505662161	-1.3450506242332145	4.78	0.2238277720956292	0.0015578092147755082	-0.9746274681482959
145	0.00795922498786974	-0.05283991291729841	5.13	0.9985726659840358	0.007948117100135281	-0.052815321490055696
154	0.00855350959817381	-0.10496535785200042	4.37	0.994459813080913	0.008506306981994722	-0.10477272025008987
183	0.01017535680558954	-0.5187190793558181	5.04	0.8684099742657211	0.008836650041365189	-0.495768121415502
300	0.016317955841520983	-0.30257006968622674	4.55	0.9544467417314203	0.015576120231386595	-0.2979744983665768
355	0.01964359346473358	-0.18342577916407202	4.99	0.9830349119918294	0.019312798513694992	-0.1823989518028694
441	0.023281295958202757	-0.09961672654609371	4.61	0.9947727011077708	0.02316378848873701	-0.09945205897113836
676	0.036597198219830894	0.5077238192275191	2.07	0.873268268551168	0.03197414766485623	0.486189453837443
744	0.040025723002448554	1.0323584128302916	2.28	0.5123844010449803	0.02053043499367428	0.8585107610302548
759	0.04080169638788523	-0.4884814944111116	5.42	0.8823115361242758	0.03602013057468809	-0.4692855244042832
763	0.0410595687848674	-0.7984432080124595	3.88	0.6972344234091962	0.028645908169821935	-0.7162705988370401
812	0.04379720498308311	-1.435080344464566	5.29	0.13517002564674255	0.005923078577612081	-0.9908047140112033
839	0.04503263629410729	0.8041128402743929	5.01	0.6930471300420409	0.031230984371565365	0.7202154546770524
908	0.04914995526602452	-0.2699671272727549	4.89	0.9626157994197673	0.04735038501300427	-0.2666997633042872
928	0.050499531110129135	-0.4851969418384909	5.41	0.8834554193300187	0.04465215592900031	-0.4663825758187297
948	0.05119539388289927	-0.6131886030449777	5.24	0.816745615824068	0.04185142650251911	-0.5754781117747818
981	0.05308584726219692	-0.3130820132380634	5.29	0.950048601717544	0.05048178455813006	-0.30799227880316404
1065	0.05775242134971676	0.2650037424926409	2.83	0.9634825118187552	0.05570540125516509	0.2619128818718609
1156	0.0630957468546974	-0.13579590095677946	5.13	0.9888223418357592	0.06247336398668884	-0.13537893144293764
1166	0.06371621140378139	0.3526734808693232	4.79	0.9365483129142899	0.05975444127065525	0.3454079679535913
1169	0.06388035961993146	-0.3304408485388888	4.44	0.9439700998210968	0.060383165542185216	-0.32446004987186566
1363	0.07457695900662911	0.6751219082579692	4.61	0.7784609888238604	0.058162639749103975	0.6249924769281574
1470	0.07997002639529158	0.6420232748836385	4.51	0.7983263152423914	0.06397803432113669	0.5988170885303034
